mxrwdkxvy;1.8;87046
pbuwnjkg;5.8;02132
sjjxiu;4.7;7274
ixhxh;1.8;5
fmimnoo;0.3;464
fajjaul;6.3;8763
lcmeix;7.8;213
xohmtsk;2.8;111
qlhuocq;0.2;7171
uogusmjg;3.1;4
midrqh;1.2;843
cvdvg;1.3;8263
fdxup;7.8;3075
utvlxphsq;4.4;0
xlftfv;1.1;554
pmcduvv;0.6;703
qffrpuww;7.7;6
hxprbsw;0.2;754
qsaay;6.3;33854
ahdx;1.3;37
bptgxk;2.0;6103
abppk;5.7;38
yqawsprvu;3.8;86456
blljvo;7.6;7
akcll;0.6;8538
behrtofc;1.2;7673
mnfmggltm;6.2;12685
qboq;1.3;51
gfyppjh;2.4;3788
kslkh;2.3;527
ygkwii;6.7;6
tlajiersq;5.5;6712
bhgluhvmj;3.8;083
raxumiyf;7.0;0460
ifgwduph;4.2;242
hlytsukc;3.4;685
fusqql;1.4;1
rrhinug;0.3;5
pvagrruig;8.1;515
egmsuj;8.3;2273
arligy;0.3;20358
stbi;6.7;6405
wrlu;1.5;53
dmupmkt;0.6;13036
gqjg;5.3;02
omfvtbid;1.7;500
rgppxnp;1.3;52
ynxamsbn;7.1;4823
xqiiaqe;7.1;416
oqqwcdeqk;4.4;2283
fdmuhyrvs;8.6;8147
nfkigp;5.2;3520
fustpgd;7.6;1676
derxy;5.0;5
vdvpuxo;2.4;44
pdab;6.5;7
udujx;0.5;8164
jxegw;8.4;0
mjtrsvgch;8.6;8863
dfrbw;2.1;7
ekyhvjc;5.4;652
skctckom;4.6;43868
mkvg;0.8;517
cwuhum;6.3;22
ocrsv;3.5;571
csiwhqwgx;2.3;125
yxcrundyk;3.4;5587
fjfnno;8.1;60
saxiqh;0.6;24624
yjoyo;8.1;2165
xlstcw;0.7;3614
hhwqkrpql;8.3;47881
gxsxugih;3.6;8
drncpwle;1.0;2873
jhmjf;6.4;637
bcpga;8.4;15
qdwegsed;7.3;8
sowhyqhy;7.7;02
qpqeusikn;4.4;318
amro;4.5;441
mdtdf;2.1;135
atkw;0.4;23
lnvapdqf;6.2;8715
fkyhflik;5.3;52043
mswd;3.1;54766
wlecexu;1.0;3355
vribig;2.8;8066
waxtrryvh;4.1;823
mrxlkc;0.0;5252
yutc;5.7;18
xqkrtuj;0.6;4
gutg;2.6;54
lwfbtv;0.7;5583
yeccol;5.2;5153
rvmb;0.8;7
aqjv;1.7;3
lrjy;7.2;18
rhpddbcs;5.4;4253
hocklbf;5.3;71203
tohpdjdd;7.6;75
